web-scraper-order,web-scraper-start-url,product-links,product-links-href,product_name,product_price,customer_rating,indentification_number
"1680187664-61","https://www.smythstoys.com/uk/en-gb/brand/jurassic-world/c/SM060614","Ref:204998001
				
					
							Jurassic World Dominion: Roar Strikers Triceratops Dinosaur Figure
						
					
							
		£13.99","https://www.smythstoys.com/uk/en-gb/brand/jurassic-world/jurassic-world-dominion-roar-strikers-triceratops-dinosaur-figure/p/204998001","Jurassic World Dominion: Roar Strikers Triceratops Dinosaur Figure","£13.99","4.9
											
												(5)","Ref:204998001"
"1680187666-62","https://www.smythstoys.com/uk/en-gb/brand/jurassic-world/c/SM060614","Ref:193266
				
					
							Jurassic World Legacy Collection Apatosaurus Dinosaur
						
					
							
		£34.99","https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/top-toys-action-figures/jurassic-world-legacy-collection-apatosaurus-dinosaur/p/193266","Jurassic World Legacy Collection Apatosaurus Dinosaur","£34.99","4.7
											
												(82)","Ref:193266"
"1680187668-63","https://www.smythstoys.com/uk/en-gb/brand/jurassic-world/c/SM060614","Ref:204998008
				
					
							Jurassic World Dominion: Roar Strikers Iguanodon Dinosaur
						
					
							
		£12.99 
			£16.99","https://www.smythstoys.com/uk/en-gb/brand/jurassic-world/jurassic-world-dominion-roar-strikers-iguanodon-dinosaur/p/204998008","Jurassic World Dominion: Roar Strikers Iguanodon Dinosaur","£12.99","4.8
											
												(4)","Ref:204998008"
"1680187671-64","https://www.smythstoys.com/uk/en-gb/brand/jurassic-world/c/SM060614","Ref:216942
				
					
							Jurassic World Gigantic Trackers Sinotyrannus Dinosaur Figure
						
					
							
		£25.99","https://www.smythstoys.com/uk/en-gb/toys/new-toys/jurassic-world-gigantic-trackers-sinotyrannus-dinosaur-figure/p/216942","Jurassic World Gigantic Trackers Sinotyrannus Dinosaur Figure","£25.99","5.0
											
												(1)","Ref:216942"
"1680187673-65","https://www.smythstoys.com/uk/en-gb/brand/jurassic-world/c/SM060614","Ref:204590
				
					
							Jurassic World Legacy Collection: Isla Sorna Dinosaur Capture Vehicle
						
					
							
		£19.99","https://www.smythstoys.com/uk/en-gb/brand/jurassic-world/jurassic-world-legacy-collection-isla-sorna-dinosaur-capture-vehicle/p/204590","Jurassic World Legacy Collection: Isla Sorna Dinosaur Capture Vehicle","£19.99","4.8
											
												(16)","Ref:204590"
"1680187675-66","https://www.smythstoys.com/uk/en-gb/brand/jurassic-world/c/SM060614","Ref:201251
				
					
							Jurassic World Kids LED Watch
						
					
							
		£6.99","https://www.smythstoys.com/uk/en-gb/toys/pocket-money/jurassic-world-kids-led-watch/p/201251","Jurassic World Kids LED Watch","£6.99","3.6
											
												(17)","Ref:201251"
"1680187678-67","https://www.smythstoys.com/uk/en-gb/brand/jurassic-world/c/SM060614","Ref:196522
				
					
							Jurassic World 35cm Blue Raptor Dinosaur Soft Toy
						
					
							
		£16.99","https://www.smythstoys.com/uk/en-gb/gift-finder-3-5-years/jurassic-world-35cm-blue-raptor-dinosaur-soft-toy/p/196522","Jurassic World 35cm Blue Raptor Dinosaur Soft Toy","£16.99","4.8
											
												(71)","Ref:196522"
"1680187680-68","https://www.smythstoys.com/uk/en-gb/brand/jurassic-world/c/SM060614","Ref:206184
				
					
							Heroes of Goo Jit Zu Jurassic World Minis Mega 6 Pack
						
					
							
		£8.00","https://www.smythstoys.com/uk/en-gb/toys/sensory-toys/sensory-play/heroes-of-goo-jit-zu-jurassic-world-minis-mega-6-pack/p/206184","Heroes of Goo Jit Zu Jurassic World Minis Mega 6 Pack","£8.00","4.7
											
												(6)","Ref:206184"
"1680187682-69","https://www.smythstoys.com/uk/en-gb/brand/jurassic-world/c/SM060614","Ref:203117
				
					
							Ravensburger Jurassic World Classic 4x 100-piece Jigsaw Puzzle Bumper Pack
						
					
							
		£8.00","https://www.smythstoys.com/uk/en-gb/toys/games-puzzles-and-books/jigsaws-and-puzzles/children-s-puzzles/ravensburger-jurassic-world-classic-4x-100-piece-jigsaw-puzzle-bumper-pack/p/203117","Ravensburger Jurassic World Classic 4x 100-piece Jigsaw Puzzle Bumper Pack","£8.00","5.0
											
												(4)","Ref:203117"
"1680187684-70","https://www.smythstoys.com/uk/en-gb/brand/jurassic-world/c/SM060614","Ref:207789
				
					
							Jurassic World Dino Egg Soft Toy Movie Assortment
						
					
							
		£5.99","https://www.smythstoys.com/uk/en-gb/brand/jurassic-world/jurassic-world-dino-egg-soft-toy-movie-assortment/p/207789","Jurassic World Dino Egg Soft Toy Movie Assortment","£5.99","","Ref:207789"
